author,publication_year,author_year,review,N,age_group,study continent,c_malaria only,t,T,roa,mortality_e,mortality_n,crt_mean,crt_sd,crt_n,pct_mean,pct_sd,pct_n
Anh,1989,*Anh et al 1989,s,41,a,Asia,Yes,ASU,Artesunate,Parenteral,2,19,,,,,,
Anh,1989,*Anh et al 1989,s,41,a,Asia,Yes,QN,Quinine,Parenteral,7,22,,,,,,
Karbwang  et al,1992,Karbwang  et al 1992,e,26,a,Asia,No,AME,Artemether,IM,1,14,,,,63.3,30,14
Karbwang  et al,1992,Karbwang  et al 1992,e,26,a,Asia,No,QN,Quinine,Parenteral,5,12,,,,61.6,12.6,12
Hien T H et al,1992,Hien T H et al 1992,s,79,a,Asia,Yes,ASU,Artesunate,Parenteral,5,31,68.9,,31,37.9,17.4,31
Hien T H et al,1992,Hien T H et al 1992,s,79,a,Asia,Yes,AMI,Artemisinin,Rectal,5,18,56.1,,18,28.1,17.4,18
Hien T H et al,1992,Hien T H et al 1992,s,79,a,Asia,Yes,QN,Quinine,Parenteral,8,30,58.1,,30,51.2,23.2,30
Walker et al,1993,Walker et al 1993,e,54,c,Africa,Yes,AME,Artemether,IM,3,25,40.1,30.7,25,39.3,28,25
Walker et al,1993,Walker et al 1993,e,54,c,Africa,Yes,QN,Quinine,Parenteral,6,29,36.7,29.6,29,37.2,21.2,29
Anh,1995,*Anh et al 1995,s,190,a,Asia,Yes,ASU,Artesunate,Parenteral,8,99,,,,,,
Anh,1995,*Anh et al 1995,s,190,a,Asia,Yes,QN,Quinine,Parenteral,18,91,,,,,,
Karbwang  et al,1995,Karbwang  et al 1995,e,102,a,Asia,No,AME,Artemether,IM,6,47,,,,,,
Karbwang  et al,1995,Karbwang  et al 1995,e,102,a,Asia,No,QN,Quinine,Parenteral,19,50,,,,,,
Hien T H et al,1996,Hien T H et al 1996,e,560,a,Asia,No,AME,Artemether,IM,36,284,,,,,,
Hien T H et al,1996,Hien T H et al 1996,e,560,a,Asia,No,QN,Quinine,Parenteral,47,274,,,,,,
van Hensbroek et al,1996,van Hensbroek et al 1996,e,576,c,Africa,Yes,AME,Artemether,IM,59,288,,,,,,
van Hensbroek et al,1996,van Hensbroek et al 1996,e,576,c,Africa,Yes,QN,Quinine,Parenteral,62,288,,,,,,
Murphy et al,1996,Murphy et al 1996,e,160,c,Africa,Yes,AME,Artemether,IM,18,89,,,,,,
Murphy et al,1996,Murphy et al 1996,e,160,c,Africa,Yes,QN,Quinine,Parenteral,8,71,,,,,,
Vihn et al,1997,Vihn et al 1997,e,180,a,Asia,No,ASU,Artesunate,Parenteral,10,79,,,,,,
Vihn et al,1997,Vihn et al 1997,e,180,a,Asia,No,AMI,Artemisinin,Rectal,9,51,,,,,,
Vihn et al,1997,Vihn et al 1997,e,180,a,Asia,No,AME,Artemether,IM,5,45,,,,,,
Phuong et al,1997,Phuong et al 1997,s,109,c,Asia,No,ASU,Artesunate,Parenteral,4,37,,,,,,
Phuong et al,1997,Phuong et al 1997,s,109,c,Asia,No,AMI,Artemisinin,Rectal,2,37,,,,,,
Phuong et al,1997,Phuong et al 1997,s,109,c,Asia,No,QN,Quinine,Parenteral,5,35,,,,,,
Seaton et al,1998,Seaton et al 1998,e,33,a,South Pacific,No,AME,Artemether,IM,1,15,,,,,,
Seaton et al,1998,Seaton et al 1998,e,33,a,South Pacific,No,QN,Quinine,Parenteral,3,18,,,,,,
Taylor et al,1998,Taylor et al 1998,e,183,c,Africa,Yes,AME,Artemether,IM,10,83,,,,32,,83
Taylor et al,1998,Taylor et al 1998,e,183,c,Africa,Yes,QN,Quinine,Parenteral,12,81,,,,40,,81
*Ojuawo et al,1998,*Ojuawo et al 1998,e,37,c,Africa,Yes,AME,Artemether,IM,1,18,,,,,,
